CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS;ordre_parada;hora_inicial
71600;sant vicenc de calders;BARCELONA;00:00 - 00:30;0;19;0;1900-01-01 00:00:00
71600;sant vicenc de calders;BARCELONA;00:30 - 01:00;0;1;0;1900-01-01 00:30:00
71600;sant vicenc de calders;BARCELONA;05:00 - 05:30;43;0;0;1900-01-01 05:00:00
71600;sant vicenc de calders;BARCELONA;05:30 - 06:00;46;0;0;1900-01-01 05:30:00
71600;sant vicenc de calders;BARCELONA;06:00 - 06:30;56;0;0;1900-01-01 06:00:00
71600;sant vicenc de calders;BARCELONA;06:30 - 07:00;187;22;0;1900-01-01 06:30:00
71600;sant vicenc de calders;BARCELONA;07:00 - 07:30;45;50;0;1900-01-01 07:00:00
71600;sant vicenc de calders;BARCELONA;07:30 - 08:00;64;13;0;1900-01-01 07:30:00
71600;sant vicenc de calders;BARCELONA;08:00 - 08:30;81;82;0;1900-01-01 08:00:00
71600;sant vicenc de calders;BARCELONA;08:30 - 09:00;0;112;0;1900-01-01 08:30:00
71600;sant vicenc de calders;BARCELONA;09:00 - 09:30;61;60;0;1900-01-01 09:00:00
71600;sant vicenc de calders;BARCELONA;09:30 - 10:00;39;68;0;1900-01-01 09:30:00
71600;sant vicenc de calders;BARCELONA;10:00 - 10:30;97;48;0;1900-01-01 10:00:00
71600;sant vicenc de calders;BARCELONA;10:30 - 11:00;18;53;0;1900-01-01 10:30:00
71600;sant vicenc de calders;BARCELONA;11:00 - 11:30;74;37;0;1900-01-01 11:00:00
71600;sant vicenc de calders;BARCELONA;11:30 - 12:00;15;58;0;1900-01-01 11:30:00
71600;sant vicenc de calders;BARCELONA;12:00 - 12:30;107;56;0;1900-01-01 12:00:00
71600;sant vicenc de calders;BARCELONA;12:30 - 13:00;41;73;0;1900-01-01 12:30:00
71600;sant vicenc de calders;BARCELONA;13:00 - 13:30;68;19;0;1900-01-01 13:00:00
71600;sant vicenc de calders;BARCELONA;13:30 - 14:00;57;78;0;1900-01-01 13:30:00
71600;sant vicenc de calders;BARCELONA;14:00 - 14:30;99;37;0;1900-01-01 14:00:00
71600;sant vicenc de calders;BARCELONA;14:30 - 15:00;24;90;0;1900-01-01 14:30:00
71600;sant vicenc de calders;BARCELONA;15:00 - 15:30;71;42;0;1900-01-01 15:00:00
71600;sant vicenc de calders;BARCELONA;15:30 - 16:00;32;71;0;1900-01-01 15:30:00
71600;sant vicenc de calders;BARCELONA;16:00 - 16:30;77;34;0;1900-01-01 16:00:00
71600;sant vicenc de calders;BARCELONA;16:30 - 17:00;24;75;0;1900-01-01 16:30:00
71600;sant vicenc de calders;BARCELONA;17:00 - 17:30;72;48;0;1900-01-01 17:00:00
71600;sant vicenc de calders;BARCELONA;17:30 - 18:00;48;89;0;1900-01-01 17:30:00
71600;sant vicenc de calders;BARCELONA;18:00 - 18:30;80;33;0;1900-01-01 18:00:00
71600;sant vicenc de calders;BARCELONA;18:30 - 19:00;26;97;0;1900-01-01 18:30:00
71600;sant vicenc de calders;BARCELONA;19:00 - 19:30;42;42;0;1900-01-01 19:00:00
71600;sant vicenc de calders;BARCELONA;19:30 - 20:00;97;111;0;1900-01-01 19:30:00
71600;sant vicenc de calders;BARCELONA;20:00 - 20:30;9;0;0;1900-01-01 20:00:00
71600;sant vicenc de calders;BARCELONA;20:30 - 21:00;34;64;0;1900-01-01 20:30:00
71600;sant vicenc de calders;BARCELONA;21:00 - 21:30;2;55;0;1900-01-01 21:00:00
71600;sant vicenc de calders;BARCELONA;21:30 - 22:00;30;70;0;1900-01-01 21:30:00
71600;sant vicenc de calders;BARCELONA;22:00 - 22:30;0;46;0;1900-01-01 22:00:00
71600;sant vicenc de calders;BARCELONA;22:30 - 23:00;0;38;0;1900-01-01 22:30:00
71600;sant vicenc de calders;BARCELONA;23:00 - 23:30;0;15;0;1900-01-01 23:00:00
71600;sant vicenc de calders;BARCELONA;23:30 - 00:00;0;16;0;1900-01-01 23:30:00
72201;el vendrell;BARCELONA;00:30 - 01:00;0;0;1;1900-01-01 00:30:00
72201;el vendrell;BARCELONA;05:00 - 05:30;37;2;1;1900-01-01 05:00:00
72201;el vendrell;BARCELONA;05:30 - 06:00;48;0;1;1900-01-01 05:30:00
72201;el vendrell;BARCELONA;06:00 - 06:30;41;3;1;1900-01-01 06:00:00
72201;el vendrell;BARCELONA;06:30 - 07:00;102;19;1;1900-01-01 06:30:00
72201;el vendrell;BARCELONA;07:00 - 07:30;79;2;1;1900-01-01 07:00:00
72201;el vendrell;BARCELONA;07:30 - 08:00;86;8;1;1900-01-01 07:30:00
72201;el vendrell;BARCELONA;08:00 - 08:30;42;58;1;1900-01-01 08:00:00
72201;el vendrell;BARCELONA;08:30 - 09:00;92;19;1;1900-01-01 08:30:00
72201;el vendrell;BARCELONA;09:30 - 10:00;74;60;1;1900-01-01 09:30:00
72201;el vendrell;BARCELONA;10:00 - 10:30;42;17;1;1900-01-01 10:00:00
72201;el vendrell;BARCELONA;10:30 - 11:00;17;45;1;1900-01-01 10:30:00
72201;el vendrell;BARCELONA;11:00 - 11:30;18;33;1;1900-01-01 11:00:00
72201;el vendrell;BARCELONA;11:30 - 12:00;52;22;1;1900-01-01 11:30:00
72201;el vendrell;BARCELONA;12:00 - 12:30;60;85;1;1900-01-01 12:00:00
72201;el vendrell;BARCELONA;13:00 - 13:30;40;44;1;1900-01-01 13:00:00
72201;el vendrell;BARCELONA;13:30 - 14:00;55;10;1;1900-01-01 13:30:00
72201;el vendrell;BARCELONA;14:30 - 15:00;71;78;1;1900-01-01 14:30:00
